,ISIN,Ticker,Company,Sector,Industry,Business Activity,Country,Market Cap,Size,1M(%),3M(%),6M(%),YTD(%),Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
10,US28106W1036,EDIT,Editas Medicine Inc,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),United States of America,4060684291.0,Mid Cap 2-10B,-18.05796714,87.07119988,104.2276964,-12.49465126,2019-12-31,-0.8785319263616242,,0.0,0.0,,,,0.25,0.146,,,,,-3.16458097045343,,,,0.239,,,6.15514456586587,,,-28.7851444842247,-53.6487237238743,,-53.6487237238743,-0.357,0.79366
11,US4622601007,IOVA,Iovance Biotherapeutics Inc,Healthcare,Biotechnology & Medical Research,Bio Diagnostics & Testing,United States of America,6430772723.0,Mid Cap 2-10B,-7.918504516,22.18506132,53.0191972,-5.517241379,2019-12-31,-0.9514799091659514,,12.0271,13.86489,,,,0.613,0.251,,,,,-4.81767240064773,,,,0.61,,,11.703917937269,,,,-51.6382323035624,,-51.6382323035624,-1.0,0.80489
12,US90138F1021,TWLO,Twilio Inc,Technology,Software & IT Services,Application Software,United States of America,54259000000.0,Large Cap >10B,2.547788873,24.55125095,35.82873554,6.183161004,2019-12-31,-0.34529692822161845,,9.20024,11.07302,,,-21.47632,1.733,0.88,,,10.6662666456172,,-0.416455417055572,53.67423,-15.25318,-27.0667,2.073,,,3.44356743495221,11.2692132002666,,-9.93855864796012,-13.0176363381229,,-13.0176363381229,0.745,0.35222
13,US0567521085,BIDU,Baidu Inc,Technology,Software & IT Services,Search Engines,China,80160000000.0,Large Cap >10B,20.47982775,78.09942407,96.14421632,8.684794673,2019-12-31,-0.3583222129181778,2.88536,22.1578,38.88332,,0.0,23.71035,-0.232,-0.917,9.11356628793209,24.8585526637093,2.16085861321306,1.0,3.06556805467173,41.48753,2.13074,-2.1301,-0.611,28.2407488088168,-1.41013484156072,,2.83556463107362,2.86856,-0.76533887005136,1.2148291359137,,1.2148291359137,0.006,0.35903
14,US30063P1057,EXAS,Exact Sciences Corp,Healthcare,Biotechnology & Medical Research,Bio Diagnostics & Testing,United States of America,21867000000.0,Large Cap >10B,3.830431491,13.82100328,44.9587825,3.524794324,2019-12-31,-0.37624523371722485,2.35507,23.63166,36.20843,,,-20.94448,0.346,-0.554,,,16.1142900727496,,-2.37805738513521,73.43902,-4.58405,-9.58504,0.466,,,5.96680962148051,13.8522701425208,2.09407,-3.33982134442989,-5.65799551499123,,-5.65799551499123,0.928,0.09141
15,US45826J1051,NTLA,Intellia Therapeutics Inc,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),United States of America,3699638631.0,Mid Cap 2-10B,14.64664958,150.9819639,241.253406,15.11029412,2019-12-31,-0.7426817474308077,,,,,,,0.167,0.063,,,10.1472489515811,,-15.8753222361896,,,,0.171,,,2.72862714900313,16.0804002041621,,-29.2059067334708,-36.3391085448913,,-36.3391085448913,0.416,0.75939
16,US70450Y1038,PYPL,PayPal Holdings Inc,Technology,Software & IT Services,Internet Security & Transactions Services,United States of America,274540000000.0,Large Cap >10B,1.41972904,20.13433142,26.92849404,0.04696840307,2020-12-31,-0.3694833116678148,1.32637,12.70123,44.55465,,0.0,21.52046,,,58.5642672011696,54.2083443600241,12.6033010938659,1.0,1.79427429374731,46.61602,16.40191,19.58609,,64.0394627466422,0.931456541173749,13.7110928712855,12.9577421459868,,6.90482450374655,22.7725991762411,17.1890610148759,22.7725991762411,,0.17829
17,US90184D1000,TWST,Twist Bioscience Corp,Healthcare,Pharmaceuticals,Biopharmaceuticals,United States of America,7999302473.0,Mid Cap 2-10B,18.75,107.3336694,185.7093245,16.45551702,2020-09-30,-0.4437126998891119,,1.18732,1.40843,,,,0.079,-0.089,,,,,-5.10948927174521,31.84684,-149.40152,-155.30633,0.08,,,10.1853800848134,,,,-57.3083727863965,,-57.3083727863965,0.657,0.7492
18,CA82509L1076,SHOP,Shopify Inc,Technology,Software & IT Services,E-commerce & Auction Services,Canada,133930000000.0,Large Cap >10B,-6.232449365,12.44524053,4.271111154,-2.94712664,2019-12-31,-0.04435772928555244,,,,,,-6.68469,0.626,0.808,,,,,0.018287806597902,54.85096,,-7.91054,0.536,,,15.349423499003,,,-4.34666651811268,-4.88953103318083,,-4.88953103318083,0.47,0.69591
19,US2561631068,DOCU,DocuSign Inc,Technology,Software & IT Services,Enterprise Software,United States of America,43447000000.0,Large Cap >10B,2.073106592,9.005382635,11.35070524,4.763832659,2020-01-31,-0.03439206059817711,1.36014,24.60534,85.17262,,,-14.71214,-0.631,-0.627,,,14.2696242056078,,0.314639244114313,75.02657,-6.61479,-21.39273,-0.546,,,,14.2437824534817,,-11.8839715903501,-35.9026405867549,,-35.9026405867549,0.389,0.13216
20,US52603B1070,TREE,LendingTree Inc,Financials,Banking Services,Consumer Lending (NEC),United States of America,4273154100.0,Mid Cap 2-10B,22.19677916,-5.438066465,-9.031969595,18.89404288,2019-12-31,1.0298496181963286,0.82107,35.80191,84.35721,,0.0,13.14925,0.455,-0.653,29.1020577516322,30.8798059069662,3.82670246099098,1.0,3.09137351041798,87.83502,3.91056,3.56587,0.146,64.3381612397775,-1.72268287932481,9.83156033251825,4.00865473887203,,4.27963151353192,10.5432752553658,5.96322151234538,10.5432752553658,0.447,-0.04355
21,US57667T1007,MTLS,Materialise NV,Technology,Software & IT Services,System Software,Belgium,3471633374.0,Mid Cap 2-10B,31.20980707,75.60516407,131.0332626,20.43903339,2019-12-31,0.016621362575650087,2.27481,36.6276,89.67093,,0.0,13.32832,0.12,-0.516,33.2641577274908,83.435712435959,4.43355228910256,1.0,1.18336520973145,58.45566,2.98553,0.87656,0.354,,-10.392239157931,6.22276901326119,4.4903589514989,2.12963,0.514025291471159,1.1793923828719,0.995724194793806,1.1793923828719,0.01,0.30674
22,US90214J1016,TWOU,2U Inc,Technology,Software & IT Services,IT Services & Consulting (NEC),United States of America,2947616292.0,Mid Cap 2-10B,3.178607467,9.710300429,-5.499075786,2.224443889,2019-12-31,0.0,1.67324,20.83028,34.75852,,,-15.06392,,4.581,,,2.78707282063998,,-8.84811158700193,51.68836,-11.66018,-40.93159,2.362,,,2.14414480440376,2.56291695133389,,-23.5908020523683,-33.2173705515728,,-33.2173705515728,0.396,0.08847
23,US69553P1003,PD,PagerDuty Inc,Technology,Software & IT Services,Application Software,United States of America,3992585003.0,Mid Cap 2-10B,12.5404157,68.55759253,62.75885104,16.85851319,2020-01-31,-0.08327981531907581,3.52068,,,,,-31.9938,0.31,0.388,,,8.71414211949432,,-0.349823270879902,85.22462,,-30.26071,0.313,,,5.89126919967664,9.18831915648238,,-15.9141491419972,-42.1232762083278,,-42.1232762083278,0.412,0.66596
24,US45866F1049,ICE,Intercontinental Exchange Inc,Financials,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC),United States of America,61938000000.0,Large Cap >10B,-2.258635961,15.61995506,17.68662974,-4.284846908,2019-12-31,-0.8597702161483277,0.98784,8.27469,45.23314,311.272141706924,32.1262286601138,63.55248,0.033,0.002,17.7324326204023,33.8277104691575,11.2694006618704,0.678737713398862,4.5017522219513,,9.38596,37.67782,0.022,27.0236336348612,,2.97146908082877,10.052047289504,,2.09307789239871,11.220106802879,8.64539978660558,7.61550963547713,0.045,-0.00886
25,US8740391003,TSM,Taiwan Semiconductor Manufacturing Co Ltd,Technology,Semiconductors & Semiconductor Equipment,Semiconductors (NEC),Taiwan,547510000000.0,Large Cap >10B,15.1193634,43.7650324,48.40970336,11.44534116,2020-12-31,-0.08870918598430876,1.76972,12.50634,18.65665,113.222398850378,,67.09021,,,18.0124016974683,,12.0845582333391,,1.96329531431289,53.09892,,38.69002,,32.1519136639736,0.560895688965184,7.43009164334614,12.4330583140807,1.54716,20.2198885852353,29.2899462219326,25.3255207554247,3.4205541940893,,0.17207
26,US4824971042,BEKE,Ke Holdings Inc,Real Estate,Real Estate Operations,Real Estate Services (NEC),China,69666000000.0,Large Cap >10B,-5.060240964,-17.43503772,57.8525641,-3.964900877,2019-12-31,0.4847267254942407,,,,,,,,,,,,,,,,,,,,,,,-4.12177812809375,,,,,
27,US6544453037,NTDOY,Nintendo Co Ltd,Consumer Cyclicals,Leisure Products,"Games, Toys & Children's Vehicles",Japan,76199000000.0,Large Cap >10B,-9.276926939,5.238866063,28.70754038,-10.24590164,2020-03-31,0.2405593477100069,4.22169,0.11173,0.14024,199.19364776193,,27.65929,0.396,0.344,11.7823127039431,18.5746765369504,3.25890345497467,,6.81714882819863,49.04277,,19.76914,0.411,19.1646676373848,0.557173351101513,3.21722381601818,3.78806088409874,3.97148,14.2745636439336,17.5326116908255,17.4881293072992,8.73081911971906,0.09,0.59248
28,US92337F1075,VCYT,Veracyte Inc,Healthcare,Biotechnology & Medical Research,Bio Diagnostics & Testing,United States of America,3282778101.0,Mid Cap 2-10B,15.69067537,54.03422983,87.87276342,15.85615039,2019-12-31,0.052502176139630256,,0.25217,0.28982,,,-9.14695,-0.396,-0.56,,,10.0109498245381,,-0.464842627050728,68.49329,-22.34417,-10.46707,-0.32,,,5.7862167012762,10.7019963930613,,-6.36554250347354,-7.8938629742176,,-7.8938629742176,0.308,0.6185
29,US91332U1016,U,Unity Software Inc,Technology,Software & IT Services,Software (NEC),United States of America,40568000000.0,Large Cap >10B,-0.8995898928,37.65159868,119.1953182,-2.37831498,2020-12-31,-0.20879928439982995,4.13468,,,,,-30.01353,,,,,,,-0.080476869255856,77.68812,-180.79737,-36.54733,,,,,,,-16.4415266366441,-32.3655843094993,,,,0.59053
30,US98980L1017,ZM,Zoom Video Communications Inc,Technology,Software & IT Services,Software (NEC),United States of America,108310000000.0,Large Cap >10B,5.178798587,-24.01772586,47.41867744,10.30179058,2020-01-31,0.29873603000650273,3.28168,0.0,0.0,,0.0,10.63923,0.948,-1.0,,,,1.0,0.585823637931398,81.46719,,4.06403,1.059,,,,,,3.0776996004646,5.26313242283159,5.05637847007835,5.26313242283159,0.884,0.59053
31,US81750R1023,MCRB,Seres Therapeutics Inc,Healthcare,Biotechnology & Medical Research,Bio Therapeutic Drugs,United States of America,2167145653.0,Mid Cap 2-10B,-2.982026144,-20.46215673,483.5380835,-3.06122449,2019-12-31,-0.5010179056797364,2.17835,18.61069,,,,,-0.321,-0.489,,,4.97974842486596,,,,-140.20717,,-0.298,,,,5.66410111578032,,,,,,0.221,0.40921
32,US69404D1081,PACB,Pacific Biosciences of California Inc,Healthcare,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC),United States of America,6018158233.0,Mid Cap 2-10B,27.46256895,142.1407186,740.2597403,24.71087124,2019-12-31,-0.008539187549196843,1.64885,10.72474,28.89998,,,,-0.006,-0.273,,,8.28866865234182,,-10.3506583346767,38.04117,-38.50823,-92.56582,-0.004,,,14.3311213963085,8.62559307302153,1.37802,,-99.5798269597226,,-99.5798269597226,0.156,0.21552
33,US88032Q1094,TCEHY,Tencent Holdings Ltd,Technology,Software & IT Services,Online Services (NEC),China,843340000000.0,Large Cap >10B,27.84139708,13.727238,26.82476569,24.23146474,2019-12-31,-0.20887918131301977,1.05751,24.37352,47.56722,820.091404464756,12.1937627263959,37.23406,0.241,0.172,23.5487418617892,37.3816585692477,8.76815188554171,0.878062372736041,3.00336495415274,44.40442,12.44759,25.415,0.215,41.5035942907835,2.02292713689679,7.4103560993212,8.54363043268102,1.05452,11.4322026674106,24.6781342896738,15.9232012000646,21.6689411490897,0.207,0.01448
34,US46269C1027,IRDM,Iridium Communications Inc,Technology,Telecommunications Services,Satellite Service Operators,United States of America,6567775843.0,Mid Cap 2-10B,29.55561399,86.27599244,74.16048073,25.2892562,2019-12-31,-0.709205290717451,3.01479,49.02282,121.72904,,,54.9252,0.185,5.149,15.5379683734589,66.4883872632998,8.53426054085689,,2.60444254268505,20.98247,0.0877,-28.90547,-0.757,,,2.22260909411541,5.50298491909986,2.66369,-4.24201749502607,-10.8592391874307,,-10.8592391874307,0.072,0.06325
35,US8486371045,SPLK,Splunk Inc,Technology,Software & IT Services,Software (NEC),United States of America,26689000000.0,Large Cap >10B,-4.186019508,-19.83776169,-20.78433255,-2.860674554,2020-01-31,-0.16789511979835212,2.15105,31.522,85.75598,,,-9.05497,0.204,0.171,,,10.2484269700194,,-1.65882759599349,81.78035,-2.92093,-14.27209,0.223,,,12.2525480107168,10.0009927144811,,-6.77419893570378,-19.1294831707618,,-19.1294831707618,0.308,0.2777
36,US8716071076,SNPS,Synopsys Inc,Technology,Software & IT Services,Software (NEC),United States of America,39092000000.0,Large Cap >10B,0.6421873769,16.39934384,28.74206229,-1.461965746,2020-10-31,-0.10854758324123572,1.19127,1.59285,2.60378,,,24.61967,0.204,0.236,34.5561926427526,49.6479397021406,8.50762039842823,,1.89645512498443,77.38248,122.9572,18.00262,0.151,49.2442733326579,2.12600764294403,6.65094688758948,9.03575199828724,1.10139,9.19205814777216,14.7790030206608,14.4534588188569,,0.097,0.05097
37,US81141R1005,SE,Sea Ltd,Technology,Software & IT Services,Software (NEC),Singapore,110350000000.0,Large Cap >10B,15.0570746,29.75092803,82.58488499,8.872142678,2019-12-31,0.01693508977144052,1.86683,26.6969,118.93477,,,-35.37776,-0.154,0.18,,,7.72983219626198,,-1.00929239222493,27.80758,-18.28543,-67.01006,-0.099,,,16.028310571432,8.07221753470891,1.85543,-39.3084492340267,,,-318.247115965125,,0.39198
38,US63009R1095,NSTG,NanoString Technologies Inc,Healthcare,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)",United States of America,3085894920.0,Mid Cap 2-10B,7.639102367,88.96384242,99.57252779,4.70992823,2019-12-31,0.06640186965303171,4.72607,30.77951,76.76451,,,-61.94413,0.191,-0.576,,,7.30544116319444,,-10.1124652965332,64.92817,-9.74443,-32.40953,0.192,,,9.69564323378629,7.66308422528033,4.28636,-19.9827159523903,-57.7166359381648,,-57.7166359381648,0.176,0.64531
39,US72352L1061,PINS,Pinterest Inc,Technology,Software & IT Services,Online Services (NEC),United States of America,42344000000.0,Large Cap >10B,0.3221555133,9.598464246,174.5891784,3.960546282,2020-12-31,0.16565012681920688,,,,,,-0.9455,,,,,23.0232770500007,,0.029075835622465,73.45252,-83.47087,-7.58115,,,,,,,-5.13007178414544,-6.01597346132605,,-6.01597346132605,,0.82496
40,IL0011267213,SSYS,Stratasys Ltd,Technology,Electronic Equipment & Parts,Electronic Equipment & Parts (NEC),United States of America,2287709414.0,Mid Cap 2-10B,105.4950495,210.9363296,175.265252,100.3378378,2019-12-31,-0.19322866546007772,4.12129,0.0,0.0,,,6.17863,-0.253,-0.02,19.8442227971298,,1.2261001763143,,-3.32547087069218,49.31644,,-1.67699,0.342,,,0.951534546467349,1.72526804804427,3.0676,-0.770243626463252,-0.943692465334589,,-0.943692465334589,-0.041,0.36131
41,US1570851014,CERS,Cerus Corp,Healthcare,Healthcare Equipment & Supplies,Medical Devices & Implants,United States of America,1101465615.0,Small Cap 300M-2B,-8.153310105,18.63186319,-6.125356125,-4.768786127,2019-12-31,-0.010373540990993283,2.54506,26.84085,77.87808,,,-68.06044,0.192,0.165,,,5.97603351973895,,-12.671525183362,64.36219,-10.91937,-75.97415,0.204,,,10.6727364693981,6.29264849531853,2.15786,-43.3100807003146,-100.647731526937,,-100.647731526937,0.233,0.46982
42,IL0010852080,CGEN,Compugen Ltd,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),Israel,1005561581.0,Small Cap 300M-2B,-1.697655618,-10.25830258,-14.84593837,0.4128819158,2019-12-31,-0.9514799091659514,6.59921,,,,,,0.277,0.051,,,,,-7.39385187890303,,,,0.243,,,10.5640043957602,,,,-72.3545603726642,,-72.3545603726642,-1.0,0.71017
43,US44852D1081,HUYA,HUYA Inc,Technology,Software & IT Services,Online Services (NEC),China,6091852301.0,Mid Cap 2-10B,35.97689076,17.68181818,10.35805627,29.90466633,2019-12-31,0.54989946863687,4.32906,,,,0.0,3.86785,,-1.129,53.1398243265265,9.18490639741946,2.05536782634323,1.0,6.51421642653343,17.69565,,5.59046,8.387,61.4473504039436,0.544455872858771,,3.43520481533397,,5.08419616628705,6.5533222062275,6.5533222062275,6.5533222062275,0.719,0.71659
44,US87184Q1076,SYRS,Syros Pharmaceuticals Inc,Healthcare,Pharmaceuticals,Biopharmaceuticals,United States of America,674460955.0,Small Cap 300M-2B,-2.711111111,59.08430233,7.093933463,0.8755760369,2019-12-31,-0.9259911370001,4.86958,0.57475,1.0886,,,,0.197,-0.017,,,,,-26.225889935303,,,,0.209,,,3.78449725336415,,,,-95.6303479749002,,-95.6303479749002,-0.033,0.60674
45,US68620A2033,ONVO,Organovo Holdings Inc,Healthcare,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),United States of America,86103431.1,Micro cap,-3.689759036,35.91923486,-7.07643127,3.983739837,2020-03-31,-0.8464951693735373,,,,,,,-0.33,-0.374,,,11.9071042030965,,-28.0168554673772,85.06375,,,-0.313,,,2.01000098048828,,,,-59.4638402008613,,-59.4638402008613,-0.29,
46,US3021041047,XONE,ExOne Co,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC),United States of America,532260973.0,Small Cap 300M-2B,196.2092899,173.1659281,206.3500828,192.3076923,2019-12-31,0.19786273278579708,1.40185,1.80983,2.80762,,,-19.37458,0.383,0.182,,,2.21576923192432,,-4.90683296227465,32.98483,-43.44898,-28.33358,0.149,,,2.51015333470169,2.28371259366319,0.60842,-19.7258376457059,-27.1110033495874,,-27.1110033495874,-0.176,0.13286
47,US3896371099,GBTC,Grayscale Bitcoin Trust (Btc),Financials,Collective Investments,UK Investment Trusts,United States of America,23448000000.0,Large Cap >10B,15.32579787,127.3263434,180.8906883,8.40625,2019-12-31,-0.08556504560824645,,,,,,,,-1.252,,,,,,94.94133,,94.94133,-1.328,3.38552862197824,0.027049212775685,1.1824751124362,3.21426579046844,,49.798346806232,49.798346806232,,,,
48,US30303M1027,FB,Facebook Inc,Technology,Software & IT Services,Social Media & Networking,United States of America,735640000000.0,Large Cap >10B,-6.665944071,-8.011964534,10.73342192,-5.42905257,2020-12-31,0.018262488350963498,5.05106,0.32828,0.40767,,0.0,45.98848,,,18.1263880712895,30.3236554676016,8.33605102088478,1.0,2.99561629988452,80.5828,,33.9045,,27.066688730107,0.474698455229723,6.06617810348656,9.17682870935846,,19.9158159430391,25.4168410771592,25.3069375705479,25.4168410771592,,0.38093
49,US83304A1060,SNAP,Snap Inc,Technology,Software & IT Services,Mobile Application Software,United States of America,78880000000.0,Large Cap >10B,3.337887956,25.39081004,131.1790393,5.731975235,2020-12-31,-0.035573495839631965,5.00201,33.34175,71.89641,,,-30.93114,,,,,,,-0.309352006109968,52.82483,-8.8665,-37.69366,,,,,,,-20.9123962142334,-41.1704509629754,,-41.1704509629754,,0.53155
50,US64110L1061,NFLX,Netflix Inc,Technology,Software & IT Services,Online Services (NEC),United States of America,235790000000.0,Large Cap >10B,0.2863224518,5.588941116,9.888953104,-1.542359403,2020-12-31,0.17512965855248924,1.25056,41.51941,147.38924,,0.0,66.44613,,,14.9070687103164,128.341323440498,9.90516973879919,1.0,0.785473709535824,43.28978,7.40886,10.69849,,65.0571910857223,1.73557356858252,,9.82570577694337,,7.30096758806516,28.681761856628,13.4895531135873,28.681761856628,,0.04979
51,US31188V1008,FSLY,Fastly Inc,Technology,Software & IT Services,IT Services & Consulting (NEC),United States of America,12411000000.0,Large Cap >10B,22.16512122,59.91517988,28.73793266,25.15737667,2019-12-31,0.41681871289102174,6.71649,9.23142,11.50001,,,-14.96294,0.906,1.211,,,8.87035119035029,,-3.74716291079248,55.94078,-8.88999,-25.7156,0.598,,,7.38592662650469,6.84311490457044,,-21.3138511090025,-82.0043746271625,,-82.0043746271625,0.387,0.66113
52,US58733R1023,MELI,Mercadolibre Inc,Technology,Software & IT Services,E-commerce & Auction Services,Argentina,88744000000.0,Large Cap >10B,6.335263432,36.78227183,63.7219273,6.225450986,2019-12-31,0.1283736876248965,2.16219,17.09627,41.22247,,,-3.47692,2.37,3.299,,84.6737705826057,11.4816460913882,,1.12828558935857,47.99531,-2.32499,-7.49022,1.204,,,14.3365563889344,12.1278800101554,2.15727,-4.89941192472523,-15.4885890308634,,-14.8286504987456,0.595,0.4259
53,US6837121036,OPEN,Opendoor Technologies Inc,Real Estate,Real Estate Operations,Residential Real Estate Services,United States of America,14220000000.0,Large Cap >10B,4.43822471,52.65926359,123.630137,14.91421029,2019-12-31,,1.85341,64.35275,221.4917,,,-4.91214,0.458,0.413,,,,,,6.3547,-2.28532,-7.15461,0.52,,,,,0.68829,-16.6505521997045,,,,,0.43073
54,US70614W1009,PTON,Peloton Interactive Inc,Consumer Cyclicals,Leisure Products,Sporting & Outdoor Goods,United States of America,42748000000.0,Large Cap >10B,-2.644903398,26.07195238,119.2498125,-3.684418666,2020-06-30,0.6159185012844881,2.79539,,,,,-2.22356,-0.775,-0.632,,66.4271309704866,8.00006906205707,,1.72275872835636,45.82945,,-3.92683,-0.601,,,9.91723903515925,6.99075016785695,2.47876,-3.7282583261836,-12.568018255222,,-12.568018255222,0.996,0.46495
55,US01609W1027,BABA,Alibaba Group Holding Ltd,Technology,Software & IT Services,E-commerce & Auction Services,China,686770000000.0,Large Cap >10B,7.436722255,-18.78999232,0.5466428989,9.066300004,2020-03-31,-0.21746568394527746,1.91392,9.55304,14.25906,,0.0,28.0147,0.401,-0.798,24.699083838958,26.0823465120076,6.91937387598104,1.0,3.74176587781681,43.42049,19.37587,27.53521,0.582,20.2406227883935,-0.303389864427988,4.76687925549792,7.08995578804193,1.85248,12.242703026303,23.8104383836001,17.4136591032529,23.8104383836001,0.303,0.16836
