Sentence_index,sentence,Project.COMPANY,Project.CAPACITY,Project.PROJECT_NAME,Project.COUNTRY_LOCATION,Project.STATUS,Project.PROJECT_DETAIL,Project.TARGET_DATE,Project.CITY_LOCATION,Project.TROPHY,Project.INPUT,Project.OUTPUT,Project.APPLICATION,Project.SITE_LOCATION,Project.PARTNER,Project.AMOUNT,Project.CARBON
66s25,"Bart Biebuyck, Executive Director, Fuel Cells and Hydrogen Joint Undertaking (FCH JU), said : ""The OYSTER project is a very exciting addition to the FCH JU pallet of electrolysis projects that will allow the development of an offshore-spec electrolyser for green hydrogen to be generated in the harsh offshore environment","['Bart', 'Biebuyck']",[],"['Fuel Cells and Hydrogen Joint Undertaking (FCH JU)', 'FCH JU pallet of electrolysis projects']",[],[],[],[],[],[],['harsh offshore environment'],['green hydrogen'],[],[],[],[],[]
66s27,We are absolutely delighted to support this innovative project which reduces the environmental impact in further industrial applications,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
67s4,PROJECT IS PLANNED TO START IN 2021 AND RUN TO END OF 2024,[],[],[],[],[],[],"['IN 2021', 'END OF 2024']",[],[],[],[],[],[],[],[],[]
68s4,PROJECT IS PLANNED TO START IN 2021 AND RUN TO END OF 2024,[],[],[],[],[],[],"['IN 2021', 'END OF 2024']",[],[],[],[],[],[],[],[],[]
69s4,PROJECT IS PLANNED TO START IN 2021 AND RUN TO END OF 2024,[],[],[],[],[],[],"['IN 2021', 'END OF 2024']",[],[],[],[],[],[],[],[],[]
70s9,a possible project at the Bilbao based refinery Petroloes del Norte SA- a,[],[],['a possible project'],[],[],[],[],[],[],[],[],[],['refinery Petroloes del Norte SA'],[],[],[]
70s13,later this month. A key component of the project is to implement the latest,[],[],[],[],[],[],['later this month'],[],[],[],[],[],[],[],[],[]
70s20,"project phase and assuming the project is approved, will support and assist",[],[],['project phase'],[],[],[],[],[],[],[],[],[],[],[],[],[]
70s33,training and consulting all the way up to construction and installations.,[],[],[],[],['training'],['construction and installations'],[],[],[],[],[],[],[],[],[],[]
70s39,projects.,[],[],[],[],['projects'],[],[],[],[],[],[],[],[],[],[],[]
73s4,"""There is growing interest in transporting renewable energy in the form of hydrogen, particularly for sites far from shore. Realising such a vision will require further development and innovations of the type to be demonstrated in the OYSTER project, which Element Energy is pleased to coordinate,"" said Michael Dolman, Associate Director at Element.",[],[],['OYSTER project'],[],[],[],[],[],[],['renewable energy'],['form of hydrogen'],['sites far from shore'],[],[],[],[]
73s5,"As part of the project, the partners will integrate desalination and water treatment processes in order to be able to use seawater for the electrolysis process. The electrolyser system will be compact to allow it be integrated with a single offshore wind turbine. It will follow the turbine's production profile.",[],[],"['the project', 'a single offshore wind turbine']",[],[],['integrate desalination and water treatment processes in order to be able to use seawater for the electrolysis process'],[],[],[],[],[],[],[],[],[],[]
74s6,"""The consortium will develop and test a megawatt-scale fully marinized electrolyzer in a shore-side pilot trial,"" it said. The project, named Oyster, is planned to run from this year to the end of 2024.",[],[],[],[],[],[],['end of 2024'],['Oyster'],[],[],[],[],[],[],[],[]
77s10,This project is a key first step on the path to developing a commercial offshore hydrogen production industry and will demonstrate innovative solutions with significant potential in Europe and beyond,[],[],"['This project', 'a commercial offshore hydrogen production industry']",['Europe'],['first step'],[],[],[],[],[],[],[],[],[],[],[]
77s11,The project is planned to start in 2021 and run to the end of 2024,[],[],['The project'],[],[],[],"['2021', 'end of 2024']",[],[],[],[],[],[],[],[],[]
77s21,"Bart Biebuyck, Executive Director, Fuel Cells and Hydrogen Joint Undertaking (FCH JU), said: 'The OYSTER project is a very exciting addition to the FCH JU pallet of electrolysis projects that will allow the development of an offshore-spec electrolyser for green hydrogen to be generated in the harsh offshore environment","['Bart', 'Biebuyck']",[],"['Fuel Cells and Hydrogen Joint Undertaking (FCH JU)', 'FCH JU pallet of electrolysis projects']",[],[],[],[],[],[],['harsh offshore environment'],['green hydrogen'],[],[],[],[],[]
77s23,We are absolutely delighted to support this innovative project which reduces the environmental impact in further industrial applications,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
78s9,This project is a key first step on the path to developing a commercial offshore hydrogen production industry and will demonstrate innovative solutions with significant potential in Europe and beyond,[],[],"['This project', 'a commercial offshore hydrogen production industry']",['Europe'],['first step'],[],[],[],[],[],[],[],[],[],[],[]
78s10,The project is planned to start in 2021 and run to the end of 2024,[],[],['The project'],[],[],[],"['2021', 'end of 2024']",[],[],[],[],[],[],[],[],[]
78s22,'The OYSTER project is a very exciting addition to the FCH JU pallet of electrolysis projects that will allow the development of an offshore-spec electrolyser for green hydrogen to be generated in the harsh offshore environment,[],[],"['OYSTER project', 'FCH JU pallet of electrolysis projects']",[],[],[],[],[],[],['harsh offshore environment'],['green hydrogen'],[],[],[],[],[]
78s24,We are absolutely delighted to support this innovative project which reduces the environmental impact in further industrial applications,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
80s20,"Huadian Power International completed construction in ­December of China's first commercial-scale wind power-driven hydrogen plant, estimated to cost 2 billion yuan.",['Huadian Power International'],[],[],['China'],['completed construction'],[],[],[],['first commercial-scale wind power-driven hydrogen plant'],[],['2 billion yuan'],[],[],[],[],[]
93s2,"The project, which is part of a broader initiative known as ""Dalmine Zero Emissions"", would launch the first industrial-scale application of hydrogen in Italy to decarbonize the steel sector",[],[],['The project'],['Italy'],['broader initiative'],[],[],[],[],[],[],[],[],['Dalmine Zero Emissions'],[],[]
93s5,The project looks to generate hydrogen and oxygen through an approximate 20 MW electrolyzer that will be installed at the Dalmine plant and to adapt the steelmaking process to use green hydrogen instead of natural gas,[],['20 MW electrolyzer'],['The project'],[],[],[],[],[],[],['oxygen'],"['hydrogen', 'green hydrogen instead of natural gas']",[],[],[],[],[]
93s7,The development of the project would significantly reduce CO2 emissions related to electric arc furnace steel,[],[],['The development of the project'],[],[],[],[],[],[],['electric arc furnace steel'],['CO2 emissions'],[],[],[],[],[]
94s6,The project aims to install a 20 megawatt electrolyser at Tenaris's Dalmine plant in northern Italy to allow the company to use green hydrogen instead of natural gas.,[],['20 megawatt electrolyser'],['The project'],['northern Italy'],[],[],[],[],[],[],['green hydrogen instead of natural gas'],[],['Dalmine plant'],[],[],[]
94s7,It might also involve the construction of a storage site to stock high-pressure hydrogen produced through electrolysis.,[],[],['storage site'],[],[],[],[],[],[],[],['high-pressure hydrogen produced through electrolysis'],[],[],[],[],[]
96s5,"The project, named Oyster, is planned to run from this year to the end of 2024",[],[],['The project'],[],[],[],['end of 2024'],['Oyster'],[],[],[],[],[],[],[],[]
96s6,"Poland's second largest refiner, Grupa Lotos, is looking at developing a hydrocracker unit at Gdansk for the production of base oils",['Grupa Lotos'],[],['hydrocracker unit'],['Poland'],[],[],[],['Gdansk'],['second largest refiner'],[],[],[],[],[],[],[]
96s10,Within the same project a unit will be built for the production of high-octane gasoline components,[],[],['Within the same project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s15,"Construction of the HDT-VGO units, which had been awarded to Kinetics Technology, will go ahead alongside a rail bypass which was the main requirement for the refinery's upgrade to proceed",['Construction'],['HDT-VGO units'],[],[],[],[],[],[],[],[],[],[],[],['Kinetics Technology'],[],[]
96s20,"Cepsa's San Roque has received a favorable environmental impact assessment for its Eur1 billion ""bottom of the barrel"" project, which includes the construction of a new hydrocracker and the idling of the visbreaking unit, among other work, according to a publication in the country's official gazette, the Boletin Oficial del Estado, or BOE",['Cepsa'],[],"['Roque', 'bottom of the barrel"" project', 'hydrocracker and the idling of the visbreaking unit']",[],['favorable environmental impact assessment'],[],[],['San'],[],[],[],[],['Boletin Oficial del Estado'],[],['Eur1 billion'],[]
96s21,The project has been delayed due to local objections which caused earthworks at the site to be halted in 2019 and then further delayed by pandemic-related measures in the country and other legal challenges,[],[],['The project'],[],['local objections'],[],['2019'],[],[],[],[],[],['earthworks at the site'],[],[],[]
96s22,"The project entails the construction of a new LC Fining hydrocracking unit which will provide 36,700 b/d of LC Fining technology and 27,600 b/d of isotreating, strengthening Cepsa's marine diesel and bunker fuel oil output, as well as a sulfur unit and new hydrogen unit",[],"['36,700 b/d of LC']","['The project', 'LC Fining hydrocracking unit', 'sulfur unit and new hydrogen unit']",[],[],['marine diesel and bunker fuel oil output'],[],[],[],[],"['27,600 b/d of isotreating']",[],[],['Fining technology'],[],[]
96s33,The project includes building a delayed coker,[],[],['The project'],[],[],['building a delayed coker'],[],[],[],[],[],[],[],[],[],[]
96s42,"The first part, the natural polyethylene unit, was completed in April 2020",[],[],['natural polyethylene unit'],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s43,"The polyethylene 3 unit, which can produce 270,000 mt/year of high density polyethylene, will replace production of one of the two existing production units with a capacity of 120,000 mt/year",[],[],['The polyethylene 3 unit'],[],[],[],[],[],[],[],"['270,000 mt/year of high density polyethylene', '120,000 mt/year']",[],[],[],[],[]
96s57,Commissioning of the $148 million project is targeted for the first half of 2023,[],[],[],[],[],[],['first half of 2023'],[],[],[],[],[],[],[],['148 million'],[]
96s58,The new combined electricity and heat production plant will use natural gas as the main fuel,[],[],['The new combined electricity and heat production plant'],[],[],[],[],[],[],['natural gas'],[],[],[],[],[],[]
96s59,"It will have capacity of 80 MW, of which 60-70 MW will fully cover the Petromidia plant's electricity needs with up to 20 MW used to heat water for the town of Navodari's heating system",[],"['80 MW', '60-70 MW', '20 MW']",['Petromidia plant'],[],['will fully cover'],[],[],[],[],"['electricity needs', 'heat water']",[],[],[],[],[],[]
96s61,The project has estimated completion in September 2022,[],[],['The project'],[],[],[],['September 2022'],[],[],[],[],[],[],[],[],[]
96s64,"Valero said the cogen project at Pembroke, UK, will be completed in 2021",['Valero'],[],['cogen project'],['UK'],[],[],['2021'],['Pembroke'],[],[],[],[],[],[],[],[]
96s65,"It has previously said the project had slowed down, ""pushing out"" the mechanical completion by six to nine months",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s66,"In 2016, Valero submitted a planning application to build a 45 MW combined heat and power generation plant at Pembroke, which will provide power to the refinery and supplement its steam demand",[],['45 MW'],['combined heat and power generation plant'],[],['planning application'],['provide power to the refinery and supplement its steam demand'],[],"['2016', 'Pembroke']",[],[],[],[],[],[],[],[]
96s72,Ongoing modernization of the hydrocracking and diesel hydrodesulfurization units at Plock will also increase the refinery's diesel production capacity,[],[],['Ongoing modernization of the hydrocracking and diesel hydrodesulfurization units'],[],[],"[""increase the refinery's diesel production capacity""]",[],[],[],[],[],[],[],[],[],[]
96s77,"Planned maintenance and an upgrade at Germany's Leuna refinery this autumn has been postponed ""due to the ongoing pandemic and the resulting restrictions on travel and transport of goods, as well as the impact on international supply chains"", the company said",[],[],['Planned maintenance'],['Germany'],[],['international supply chains'],[],[],[],[],[],['resulting restrictions on travel and transport of goods'],['Leuna refinery'],[],[],[]
96s78,Work was also due to continue in 2021 and by the end of next year the project would be completed,[],[],[],[],[],[],['2021'],[],[],[],[],[],[],[],[],[]
96s83,Installation work is set to start this year and complete in 2021,[],[],[],[],[],[],['2021'],[],[],[],[],[],[],[],[],[]
96s86,"Further upgrades planned at Izmir include a $25 million project to increase the capacity of the CCR U-9200 Platformer Unit from 160 cu m/hour to 225 cu m/hour, as well as a $69 million project to revamp the FCC unit and install flue gas treatment and energy recovery systems",['Further upgrades'],"['CCR', '160 cu m/hour', '225 cu m/hour']",['U-9200 Platformer Unit'],[],['planned'],['FCC unit and install flue gas treatment and energy recovery systems'],[],['Izmir'],[],[],[],[],[],[],"['25 million project', '69 million']",[]
96s98,It is also carrying out an aromatics optimization project at the refinery,[],[],['aromatics optimization project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s100,Polish refiner Grupa Lotos plans to build a pilot 100 MW electrolysis installation and 20 MW power generation unit by 2025,"['Polish refiner', 'Grupa Lotos']","['100 MW electrolysis installation', '20 MW power generation unit']",[],[],['plans'],[],['2025'],[],[],[],[],[],[],[],[],[]
96s105,"During a first stage, Lotos planned to develop a pilot program to build a large-scale electrolysis installation to produce low carbon hydrogen mainly for these refining purposes",['Lotos'],[],['pilot program'],[],['planned'],[],[],[],['first stage'],[],['carbon hydrogen'],[],[],[],[],[]
96s109,"The electrolysis installation would be expanded to 4 GW with a 1 GW gas-fired generation unit, it said",[],"['4 GW', '1 GW gas-fired generation unit']",['The electrolysis installation'],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s130,"Repsol said it will build a 10-MW, green-hydrogen plant which it will use to produce synthetic fuels in collaboration with Saudi Aramco at its Bilbao refinery","['Repsol', 'Saudi Aramco']",['10-MW'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
96s131,"The plant is part of an Eur80-million decarbonization project that will also include a carbon-capture project and a fuel-from-waste plant, and should be completed by 2024",[],['Eur80-million'],"['The plant', 'decarbonization project', 'carbon-capture project and a fuel-from-waste plant']",[],[],[],['2024'],[],[],[],[],[],[],[],[],[]
96s132,"Germany's Heide refinery along with their partners Orsted and EDF would build a 30 megawatts electrolysis plant, calling it hydrogen ecosystem, replacing grey hydrogen with green via electrolysis unit, powered by an offshore wind farm","['Orsted', 'EDF']",['30 megawatts'],"['Heide refinery', 'electrolysis plant', 'hydrogen ecosystem', 'replacing grey hydrogen with green via electrolysis unit']",['Germany'],[],[],[],[],[],['offshore wind farm'],[],[],[],[],[],[]
96s134,"The company plans to commission a pilot plant unit at the refinery in 2021, before moving to scale up the project in the next three to six years",['The company'],[],['pilot plant unit'],[],['plans'],[],['in 2021'],[],[],[],[],[],['refinery'],[],[],[]
96s135,"Orsted and BP are to jointly develop a 50 MW renewable hydrogen project at BP's Lingen refinery in Emsland, northwest Germany, Orsted said","['Orsted', 'BP']",['50 MW'],['renewable hydrogen project'],['northwest Germany'],[],[],[],['Emsland'],[],[],[],[],"[""BP's Lingen refinery""]",[],[],[]
96s136,"The project, expected to be operational in 2024, would comprise a 50 MW electrolyzer capable of generating 9,000 mt/year of hydrogen, 20% of the refinery's current fossil-based hydrogen consumption",[],['50 MW electrolyzer'],['The project'],[],[],[],['2024'],[],[],[],"['9,000 mt/year of hydrogen']",[],[],[],[],[]
96s147,Preem was aiming to build a slurry hydrocracking plant that could convert fuel oil into sulfur-free gasoline and diesel,['Preem'],[],['slurry hydrocracking plant'],[],[],['convert fuel oil into sulfur-free gasoline and diesel'],[],[],[],[],[],[],[],[],[],[]
96s148,"Croatia's INA has selected Axens Futurol ethanol technology for the ""basic engineering design"" of an advanced bioethanol production plant at Sisak","['Croatia', 'INA']",[],"['basic engineering design"" of an advanced bioethanol production plant']",[],[],[],[],[],[],[],[],[],[],"['Axens', 'Futurol ethanol technology']",[],[]
96s150,"Five 2 MW PEM electrolyzers have been installed and testing has begun at Shell's Rhineland (Rheinland) refinery in Germany, but delays to the Refhyne project are now anticipated due to coronavirus restrictions, UK hydrogen company ITM said in a trading update June 8. Germany's Rhineland has started the construction of a new hydrogen production plant, using electrolysis, at its Wesseling site. The investment project, due for completion in 2020, will generate hydrogen from electricity rather than natural gas. The refinery consists of the Wesseling (south) and Godorf (north) sites. Separately, the refinery has received permission to start construction of a new power plant at Godorf. The new plant is scheduled to go on stream in 2021. As part of the modernization, Shell is converting the power plant from oil to gas.",['ITM'],"['Five', '2 MW PEM electrolyzers']","['Refhyne project', 'hydrogen production plant', 'power plant']","['Germany', 'Germany']","['received permission', 'start construction']",['converting the power plant from oil to gas'],"['2020', 'in 2021']",['Godorf'],[],"['electrolysis', 'electricity rather than natural gas']","['coronavirus restrictions', 'hydrogen']",[],"[""Shell's Rhineland"", 'Rheinland) refinery', 'Wesseling site', 'Wesseling', 'south) and Godorf', 'north) sites', 'stream']",[],[],[]
96s152,"Preliminary work on Estonia's new refinery has started, with an agreement signed between Eesti Energia and Viry Keemia Group with Italian company KT Kinetics Technology. The preliminary project is due to be completed in 2020, ""after which the main project will be decided,"" according to Eesti Energia. The refinery will process 1.6 million mt/year shale oil and produce 1.5 million mt/year products. It is aimed to be completed in 2024 and produce naphtha, gasoil and ULSFO.",['Preliminary'],[],[],['Estonia'],['agreement'],[],"['2020', '2024', 'ULSFO']",[],[],[],"['1.6 million mt/year shale oil', '1.5 million mt/year products', 'naphtha']",[],[],"['Eesti Energia', 'Viry Keemia Group', 'KT Kinetics Technology', 'Eesti Energia']",[],[]
96s153,"Turkey's Ersan Petrol plans to start construction of its 1.4 million mt/year Nazli refinery at Kahramanmaras in southeast Turkey in mid-2020, with the plant expected to begin operations in less than four years, company owner Ecvet Sayer said.","['Turkey', 'Ersan Petrol']",['1.4 million mt/year'],['Nazli refinery'],['southeast Turkey'],"['plans', 'start construction']",[],"['mid-2020', 'less than four years']",['Kahramanmaras'],[],[],[],[],[],[],[],[]
96s154,"Azerbaijani state oil company Socar is considering the development of a second refinery in Turkey, in addition to its existing 214,000 b/d Star refinery at Aliaga on Turkey's central Aegean coast.","['Azerbaijani', 'Socar']","['214,000 b/d']",['Star refinery'],['Turkey'],['existing'],[],[],[],[],[],[],[],"['Aliaga', ""Turkey's central Aegean coast""]",[],[],[]
97s1,"The project, which is part of a broader initiative known as 'Dalmine Zero Emissions', would launch the first industrial-scale application of hydrogen in Italy to decarbonize the steel sector",[],[],['The project'],['Italy'],['broader initiative'],[],[],[],[],[],[],[],[],['Dalmine Zero Emissions'],[],[]
97s4,The project looks to generate hydrogen and oxygen through an approximate 20 MW electrolyzer that will be installed at the Dalmine plant and to adapt the steelmaking process to use green hydrogen instead of natural gas,[],['20 MW electrolyzer'],['The project'],[],[],[],[],[],[],['oxygen'],"['hydrogen', 'green hydrogen instead of natural gas']",[],[],[],[],[]
97s6,The development of the project would significantly reduce CO2 emissions related to electric arc furnace steel,[],[],['The development of the project'],[],[],[],[],[],[],['electric arc furnace steel'],['CO2 emissions'],[],[],[],[],[]
99s15,"The manufacturing of solid oxide electrolyzers will occur at the Genvia gigafactory, which will be established in Béziers, Occitanie Region, France",[],[],['The manufacturing of solid oxide electrolyzers'],['France'],[],[],[],['Béziers'],[],[],[],[],"['Genvia gigafactory', 'Occitanie Region']",[],[],[]
101s15,"The manufacturing of solid oxide electrolyzers will occur at the Genvia gigafactory, which will be established in Béziers, Occitanie Region, France",[],[],['The manufacturing of solid oxide electrolyzers'],['France'],[],[],[],['Béziers'],[],[],[],[],"['Genvia gigafactory', 'Occitanie Region']",[],[],[]
102s13,"The manufacturing of solid oxide electrolyzers will occur at the Genvia gigafactory, which will be established in Béziers, Occitanie Region, France",[],[],['The manufacturing of solid oxide electrolyzers'],['France'],[],[],[],['Béziers'],[],[],[],[],"['Genvia gigafactory', 'Occitanie Region']",[],[],[]
107s6,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor’s Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
108s7,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor's Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Office of Business and Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
109s1,January 12 (Renewables Now) - French energy major Engie SA (EPA:ENGI) and compatriot Neoen SA (EPA:NEOEN) have teamed up to build a 1-GW solar park in France and couple it with battery storage and an electrolyser for green hydrogen production.,"['Renewables Now)', 'Engie SA', 'EPA', 'ENGI)', 'Neoen SA', 'EPA', 'NEOEN']",['1-GW'],"['solar park', 'battery storage and an electrolyser for green hydrogen production']",['France'],[],[],[],[],[],[],[],[],[],[],[],[]
109s2,"The Horizeo complex will be located at Saucats in the Gironde department of Nouvelle-Aquitaine region, and will be capable of producing electricity for more than 600,000 people a year. For its construction, the partners will not rely on state subsidies awarded in national calls for tenders, Engie said in a press release on Monday.",[],[],['The Horizeo complex'],[],['construction'],[],[],[],[],['electricity'],[],['state subsidies awarded in national calls for tenders'],"['Saucats', 'Gironde department of Nouvelle-Aquitaine region']",[],[],"['600,000 people a year']"
109s5,"""Horizeo is a large-scale project which intends to demonstrate that it is possible to accelerate the energy transition in France by directly offering competitive renewable energy to companies,"" said Paul-Francois Croisille, deputy CEO of Neoen.",['Horizeo'],[],[],['France'],[],[],[],[],[],[],[],[],[],['Neoen'],[],[]
110s5,"The three partners' goal is to evaluate the possibility to supply thyssenkrupp Steel's Duisburg site with blue hydrogen to allow for significant CO2 reductions via a nearly climate-neutral steel production in the short- and mid-term - when other types of hydrogen, especially green, are expected not to be available in sufficient quantities to meet the demand",['thyssenkrupp Steel'],[],[],[],[],[],['mid-term'],[],[],[],"['blue hydrogen', 'CO2 reductions', 'hydrogen', 'green']",[],['Duisburg site'],[],[],[]
110s15,"Considering potential sites for hydrogen production, the study has confirmed three locations as principally suitable for a hydrogen plant: A potential production site on the Dutch coast in Eemshaven and two other potential sites on the German North Sea coast",[],[],['a hydrogen plant'],[],"['Considering potential sites', 'confirmed three locations']",[],[],['Eemshaven'],[],[],['hydrogen production'],[],"['Dutch coast', 'North Sea coast']",[],[],[]
110s20,"With regard to the transport and storage of CO2 captured in the blue hydrogen production process, the study has investigated potential CO2 storage sites with the 'Northern Lights' project in Norway and other storage options, e",[],[],['blue hydrogen production process'],['Norway'],[],[],[],[],[],['CO2 storage sites'],[],"['transport and storage of CO2 captured', 'storage options']","[""Northern Lights' project""]",[],[],[]
110s21,"the Porthos project offshore of Rotterdam, of which Northern Lights is the most advanced one",[],[],['Porthos project offshore'],[],[],[],[],['Rotterdam'],[],[],[],[],[],[],[],[]
110s25,Project requires clarification on regulatory framework conditions,[],[],['Project'],[],[],[],[],[],[],[],[],[],[],[],[],[]
110s27,This includes clarifications related to the conversion of natural gas pipelines to dedicated hydrogen pipelines,['clarifications'],[],[],[],[],['natural gas pipelines to dedicated hydrogen pipelines'],[],[],[],[],[],[],[],[],[],[]
110s32,"Going forward, the project partners will elaborate details of potential production sites",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
112s6,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor’s Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
115s7,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor's Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Office of Business and Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
116s6,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor's Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Office of Business and Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
118s6,The PowerTap hydrogen stations will be completed and installed in accordance with the California Governor's Office of Business and Economic Development (GO-Biz) permitting guidebook2,['Office of Business and Economic Development'],[],['The PowerTap hydrogen stations'],[],[],[],[],[],[],[],[],[],[],[],[],[]
